숙련도 레벨,돌격소총,산탄총,저격소총
45,45단계%n돌격소총 공격력 +1,45단계%n산탄총 공격력 +1,45단계%n저격소총 공격력 +1
46,46단계%n돌격소총 공격력 +1,46단계%n산탄총 공격력 +1,46단계%n저격소총 공격력 +1
47,47단계%n돌격소총 공격력 +1,47단계%n산탄총 공격력 +1,47단계%n저격소총 공격력 +1
48,48단계%n돌격소총 공격력 +1,48단계%n산탄총 공격력 +1,48단계%n저격소총 공격력 +1
49,49단계%n돌격소총 공격력 +1,49단계%n산탄총 공격력 +1,49단계%n저격소총 공격력 +1
50,50단계%n돌격소총 공격력 +1%nPassive 1스킬,50단계%n산탄총 공격력 +1%nPassive 1스킬,50단계%n저격소총 공격력 +1%nPassive 1스킬
51,51단계%n돌격소총 공격력 +1,51단계%n산탄총 공격력 +1,51단계%n저격소총 공격력 +1
52,52단계%n돌격소총 공격력 +1,52단계%n산탄총 공격력 +1,52단계%n저격소총 공격력 +1
53,53단계%n돌격소총 공격력 +1,53단계%n산탄총 공격력 +1,53단계%n저격소총 공격력 +1
54,54단계%n돌격소총 공격력 +1,54단계%n산탄총 공격력 +1,54단계%n저격소총 공격력 +1
55,55단계%n돌격소총 공격력 +1,55단계%n산탄총 공격력 +1,55단계%n저격소총 공격력 +1
56,56단계%n돌격소총 공격력 +1,56단계%n산탄총 공격력 +1,56단계%n저격소총 공격력 +1
57,57단계%n돌격소총 공격력 +1,57단계%n산탄총 공격력 +1,57단계%n저격소총 공격력 +1
58,58단계%n돌격소총 공격력 +1,58단계%n산탄총 공격력 +1,58단계%n저격소총 공격력 +1
59,59단계%n돌격소총 공격력 +1,59단계%n산탄총 공격력 +1,59단계%n저격소총 공격력 +1
60,60단계%n돌격소총 공격력 +1%nPassive 2스킬,60단계%n산탄총 공격력 +1%nPassive 2스킬,60단계%n저격소총 공격력 +1%nPassive 2스킬
61,최대레벨 도달,최대레벨 도달,최대레벨 도달
